Day,daily_new_cases,daily_recovered_cases,new_deaths,infectious,cumulative_cases,cumulative_infectious,cumulative_recovered,cumulative_deaths,school_closures,workplace_closures,cancel_public_events,restriction_gatherings,stay_home_requirements,facial_coverings,public_information_campaigns,close_public_transport,restrictions_internal_movements,international_travel_controls,testing_policy,contact_tracing,vaccination_policy,childhood_vaccine_availability,vaccine_eligibility_age,income_support,debt_relief,vaccine_eligibility_age_categorical
2020-10-05,5700,6932,27,73106,273272,4132871,200166,1785,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-10-06,4717,6387,45,71436,277989,4204307,206553,1830,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-10-07,4152,4874,26,70714,282141,4275021,211427,1856,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-10-08,3752,4779,47,69687,285893,4344708,216206,1903,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-10-09,2954,5078,40,67563,288847,4412271,221284,1943,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-10-10,915,3774,35,64704,289762,4476975,225058,1978,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,2,2,0
2020-10-11,1637,7521,45,58820,291399,4535795,232579,2023,3,3,2,4,2,3,2,1,2,2,2,1,0,0,nil,1,2,0
2020-10-12,3153,5493,30,56480,294552,4592275,238072,2053,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-13,2335,5695,37,53120,296887,4645395,243767,2090,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-14,2117,5815,34,49422,299004,4694817,249582,2124,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-15,1609,5391,32,45640,300613,4740457,254973,2156,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-16,1496,3468,35,43668,302109,4784125,258441,2191,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-17,410,2498,32,41580,302519,4825705,260939,2223,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-18,921,4881,33,37620,303440,4863325,265820,2256,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-19,1517,2317,31,36820,304957,4900145,268137,2287,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-20,1192,1784,20,36228,306149,4936373,269921,2307,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-21,1169,3105,25,34292,307318,4970665,273026,2332,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-22,1031,3092,29,32231,308349,5002896,276118,2361,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
